symbol,date,Close,High,Low,Open,Volume
,,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC
NASDAQ,2025-05-28,19100.939453125,19276.830078125,19084.380859375,19232.619140625,8087530000
NASDAQ,2025-05-29,19175.869140625,19389.390625,19091.5390625,19389.390625,11016850000
NASDAQ,2025-05-30,19113.76953125,19157.779296875,18847.740234375,19131.220703125,9042260000
NASDAQ,2025-06-02,19242.609375,19252.7109375,18985.30078125,19063.060546875,7779940000
NASDAQ,2025-06-03,19398.9609375,19459.279296875,19224.69921875,19288.66015625,7990230000
NASDAQ,2025-06-04,19460.490234375,19493.44921875,19359.08984375,19434.939453125,7695660000
NASDAQ,2025-06-05,19298.44921875,19610.509765625,19226.220703125,19518.19921875,8782360000
NASDAQ,2025-06-06,19529.94921875,19593.1796875,19464.83984375,19526.990234375,7291590000
NASDAQ,2025-06-09,19591.240234375,19637.560546875,19531.099609375,19573.140625,9538700000
NASDAQ,2025-06-10,19714.990234375,19730.380859375,19539.08984375,19620.109375,11221560000
NASDAQ,2025-06-11,19615.880859375,19800.4609375,19551.349609375,19779.359375,10214190000
NASDAQ,2025-06-12,19662.490234375,19690.609375,19553.560546875,19578.869140625,16308730000
NASDAQ,2025-06-13,19406.830078125,19591.869140625,19367.419921875,19450.9296875,9001850000
NASDAQ,2025-06-16,19701.2109375,19733.310546875,19550.75,19550.75,9619130000
NASDAQ,2025-06-17,19521.08984375,19666.560546875,19485.439453125,19627.080078125,8519930000
NASDAQ,2025-06-18,19546.26953125,19660.76953125,19489.560546875,19526.919921875,7818790000
NASDAQ,2025-06-20,19447.41015625,19696.109375,19380.580078125,19639.41015625,9969140000
NASDAQ,2025-06-23,19630.970703125,19643.69921875,19334.98046875,19427.009765625,9088000000
NASDAQ,2025-06-24,19912.529296875,19946.720703125,19795.2890625,19809.619140625,8330090000
NASDAQ,2025-06-25,19973.55078125,20052.779296875,19918.080078125,20013.94921875,8256120000
NASDAQ,2025-06-26,20167.91015625,20187.150390625,19982.48046875,20062.189453125,8383380000
NASDAQ,2025-06-27,20273.4609375,20311.509765625,20095.05078125,20217.259765625,10951070000
NASDAQ,2025-06-30,20369.73046875,20418.310546875,20266.359375,20360.150390625,8220420000
NASDAQ,2025-07-01,20202.890625,20339.05078125,20105.41015625,20290.609375,8631710000
NASDAQ,2025-07-02,20393.130859375,20397.220703125,20181.740234375,20184.369140625,8378750000
NASDAQ,2025-07-03,20601.099609375,20624.509765625,20480.220703125,20497.66015625,6177910000
NASDAQ,2025-07-07,20412.51953125,20511.8203125,20323.01953125,20490.55078125,8345710000
NASDAQ,2025-07-08,20418.4609375,20480.890625,20377.359375,20466.9296875,8437480000
NASDAQ,2025-07-09,20611.33984375,20645.41015625,20486.380859375,20522.08984375,9978310000
NASDAQ,2025-07-10,20630.66015625,20655.390625,20495.140625,20636.48046875,9781380000
NASDAQ,2025-07-11,20585.529296875,20647.970703125,20509.75,20562.880859375,8135800000
NASDAQ,2025-07-14,20640.330078125,20672.33984375,20492.630859375,20592.560546875,8010060000
NASDAQ,2025-07-15,20677.80078125,20836.0390625,20670.580078125,20822.759765625,8399060000
NASDAQ,2025-07-16,20730.490234375,20751.05078125,20507.060546875,20717.810546875,9056640000
NASDAQ,2025-07-17,20885.650390625,20911.830078125,20735.55078125,20760.3203125,9994550000
NASDAQ,2025-07-18,20895.650390625,20980.560546875,20846.119140625,20959.5703125,9354580000
NASDAQ,2025-07-21,21047.029296875,21077.3671875,20957.44140625,20960.30078125,5771550000
